更新时间: 2026-04-13 00:09:48（北京时间）

更新时间,#genre#
2026-04-13 00:09:48,https://

央视频道,#genre#
CCTV14,http://221.219.75.32:4000/rtp/239.3.1.65:8132$北京市联通
CCTV15,http://111.193.235.246:8888/rtp/239.3.1.153:8136$北京市联通
CCTV15,http://175.147.82.194:4455/rtp/232.0.0.179:1234$辽宁联通
CCTV15,http://27.14.208.229:8000/rtp/225.0.4.220:7980$重庆市联通
CCTV15,http://183.30.201.165:10002/rtp/239.77.1.239:5146$广东电信
CCTV15,http://221.219.75.32:4000/rtp/239.3.1.153:8136$北京市联通
CCTV16,http://111.193.235.246:8888/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://111.193.235.246:8888/rtp/239.3.1.183:8001$北京市联通
CCTV16,http://175.147.82.194:4455/rtp/232.0.0.182:1234$辽宁联通
CCTV16,http://183.30.201.165:10002/rtp/239.77.0.165:5146$广东电信
CCTV16,http://221.219.75.32:4000/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://221.219.75.32:4000/rtp/239.3.1.183:8001$北京市联通
CCTV17,http://111.193.235.246:8888/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://175.147.82.194:4455/rtp/232.0.0.230:1234$辽宁联通
CCTV17,http://27.14.208.229:8000/rtp/225.0.4.179:7980$重庆市联通
CCTV17,http://183.30.201.165:10002/rtp/239.77.0.198:5146$广东电信
CCTV17,http://221.219.75.32:4000/rtp/239.3.1.151:8144$北京市联通
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.245:2000$北京市联通
CCTV4K,http://183.30.201.165:10002/rtp/239.77.0.194:5146$广东电信
CCTV4K,http://183.30.201.165:10002/rtp/239.77.1.180:5146$广东电信
CCTV4K,http://221.219.75.32:4000/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://221.219.75.32:4000/rtp/239.3.1.245:2000$北京市联通
兵器科技,http://175.147.82.194:4455/rtp/232.0.0.58:1234$辽宁联通
兵器科技,http://183.30.201.165:10002/rtp/239.253.43.18:5146$广东电信
风云音乐,http://175.147.82.194:4455/rtp/232.0.0.47:1234$辽宁联通
风云音乐,http://183.30.201.165:10002/rtp/239.253.43.29:5146$广东电信
风云足球,http://175.147.82.194:4455/rtp/232.0.0.52:1234$辽宁联通
风云足球,http://183.30.201.165:10002/rtp/239.253.43.14:5146$广东电信
风云剧场,http://175.147.82.194:4455/rtp/232.0.0.45:1234$辽宁联通
风云剧场,http://183.30.201.165:10002/rtp/239.253.43.26:5146$广东电信
怀旧剧场,http://175.147.82.194:4455/rtp/232.0.0.38:1234$辽宁联通
怀旧剧场,http://183.30.201.165:10002/rtp/239.253.43.5:5146$广东电信
第一剧场,http://175.147.82.194:4455/rtp/232.0.0.29:1234$辽宁联通
第一剧场,http://183.30.201.165:10002/rtp/239.253.43.15:5146$广东电信
女性时尚,http://175.147.82.194:4455/rtp/232.0.0.51:1234$辽宁联通
女性时尚,http://183.30.201.165:10002/rtp/239.253.43.8:5146$广东电信
世界地理,http://175.147.82.194:4455/rtp/232.0.0.63:1234$辽宁联通
世界地理,http://183.30.201.165:10002/rtp/239.253.43.7:5146$广东电信
央视台球,http://175.147.82.194:4455/rtp/232.0.0.60:1234$辽宁联通
央视台球,http://183.30.201.165:10002/rtp/239.253.43.11:5146$广东电信
高尔夫网球,http://183.30.201.165:10002/rtp/239.253.43.22:5146$广东电信
央视文化精品,http://175.147.82.194:4455/rtp/232.0.0.56:1234$辽宁联通
央视文化精品,http://183.30.201.165:10002/rtp/239.253.43.27:5146$广东电信
卫生健康,http://183.30.201.165:10002/rtp/239.77.0.212:5146$广东电信
电视指南,http://175.147.82.194:4455/rtp/232.0.0.91:1234$辽宁联通
电视指南,http://183.30.201.165:10002/rtp/239.253.43.19:5146$广东电信
中学生,http://183.30.201.165:10002/rtp/239.77.1.195:5146$广东电信
发现之旅,http://183.30.201.165:10002/rtp/239.77.1.112:5146$广东电信
书法频道,http://183.30.201.165:10002/rtp/239.77.1.115:5146$广东电信
国学频道,http://183.30.201.165:10002/rtp/239.77.0.226:5146$广东电信
环球奇观,http://183.30.201.165:10002/rtp/239.77.1.198:5146$广东电信

卫视频道,#genre#
